key,year,team,team_id,league,division,wins,payroll_rank,payroll_total,avg_hit_angle,anglesweetspotpercent,avg,slg
2020AZ,2020,D-backs,AZ,NL,West,25,14," $64,201,669 ",12.5,32.1,0.241,0.391
2020LAA,2020,Angels,LAA,AL,West,26,11," $69,282,429 ",13.7,32.6,0.248,0.43
2020BOS,2020,Red Sox,BOS,AL,East,24,3," $84,478,422 ",11,33,0.265,0.445
2020WSH,2020,Nationals,WSH,NL,East,26,12," $66,525,837 ",11.2,33.2,0.264,0.433
2020COL,2020,Rockies,COL,NL,West,26,16," $60,330,370 ",13.3,33.3,0.257,0.405
2020NYM,2020,Mets,NYM,NL,East,26,5," $80,296,949 ",9.8,33.3,0.272,0.459
2020TOR,2020,Blue Jays,TOR,AL,East,32,19," $50,989,164 ",11.9,32.7,0.255,0.441
2020BAL,2020,Orioles,BAL,AL,East,25,30," $23,918,577 ",14,33.5,0.258,0.429
2020SF,2020,Giants,SF,NL,West,29,8," $71,170,857 ",14.7,35,0.263,0.451
2020SD,2020,Padres,SD,NL,West,37,10," $69,465,574 ",11.7,34.4,0.257,0.466
2020ATL,2020,Braves,ATL,NL,East,35,13," $66,275,488 ",14.7,36.4,0.268,0.483
2020CWS,2020,White Sox,CWS,AL,Central,35,18," $51,404,630 ",11.2,33.1,0.261,0.453
2020PHI,2020,Phillies,PHI,NL,East,28,7," $74,604,761 ",14.1,33.6,0.257,0.439
2020KC,2020,Royals,KC,AL,Central,26,25," $35,631,531 ",11.6,33,0.244,0.402
2020CLE,2020,Guardians,CLE,AL,Central,35,24," $37,642,966 ",12.6,33,0.228,0.372
2020NYY,2020,Yankees,NYY,AL,East,33,1," $110,852,878 ",11.8,33.4,0.247,0.447
2020PIT,2020,Pirates,PIT,NL,Central,19,29," $24,770,928 ",10.2,31.8,0.22,0.357
2020MIN,2020,Twins,MIN,AL,Central,36,20," $48,747,770 ",15.5,33.3,0.242,0.427
2020MIA,2020,Marlins,MIA,NL,East,31,28," $28,560,819 ",10.2,32,0.244,0.384
2020TEX,2020,Rangers,TEX,AL,West,22,15," $63,687,408 ",12.5,31.1,0.217,0.364
2020OAK,2020,Athletics,OAK,AL,West,36,26," $35,520,598 ",17.1,33.6,0.225,0.396
2020SEA,2020,Mariners,SEA,AL,West,27,21," $48,421,623 ",12.7,32.1,0.226,0.37
2020TB,2020,Rays,TB,AL,East,40,27," $28,735,222 ",11.2,32.3,0.238,0.425
2020CHC,2020,Cubs,CHC,NL,Central,34,6," $76,166,963 ",11.4,31.3,0.22,0.387
2020MIL,2020,Brewers,MIL,NL,Central,29,23," $39,405,276 ",12,36.2,0.223,0.389
2020DET,2020,Tigers,DET,AL,Central,23,22," $43,069,928 ",12.6,34.5,0.245,0.397
2020CIN,2020,Reds,CIN,NL,Central,31,17," $53,315,987 ",14.3,33.5,0.212,0.403
2020STL,2020,Cardinals,STL,NL,Central,30,9," $70,452,778 ",12.8,35.5,0.234,0.371
2019PIT,2019,Pirates,PIT,NL,Central,69,27," $76,589,154 ",10.2,32.8,0.265,0.42
2019HOU,2019,Astros,HOU,AL,West,107,8," $160,774,666 ",13.4,33.3,0.274,0.495
2019BOS,2019,Red Sox,BOS,AL,East,84,1," $222,171,123 ",12.8,35,0.269,0.466
2019MIN,2019,Twins,MIN,AL,Central,101,18," $121,276,933 ",14.9,36.1,0.27,0.494
2019AZ,2019,D-backs,AZ,NL,West,85,17," $123,932,983 ",11.8,33.7,0.252,0.434
2019LAA,2019,Angels,LAA,AL,West,72,9," $159,378,583 ",13,32.7,0.247,0.422
2019NYM,2019,Mets,NYM,NL,East,86,10," $158,999,270 ",11.1,33.3,0.257,0.442
2019WSH,2019,Nationals,WSH,NL,East,93,7," $161,877,935 ",14.1,34.4,0.265,0.454
2019OAK,2019,Athletics,OAK,AL,West,97,25," $92,318,333 ",14.2,32.5,0.249,0.448
2019COL,2019,Rockies,COL,NL,West,71,12," $147,433,009 ",12.5,34.5,0.265,0.456
2019LAD,2019,Dodgers,LAD,NL,West,106,4," $196,729,548 ",14.5,33.8,0.257,0.472
2019BAL,2019,Orioles,BAL,AL,East,54,28," $72,722,906 ",11.8,32.7,0.246,0.415
2019SF,2019,Giants,SF,NL,West,77,5," $178,286,222 ",13.3,35.3,0.239,0.392
2019NYY,2019,Yankees,NYY,AL,East,103,3," $208,084,848 ",13.5,34.7,0.267,0.49
2019PHI,2019,Phillies,PHI,NL,East,81,13," $140,711,962 ",13.5,32.2,0.246,0.427
2019CLE,2019,Guardians,CLE,AL,Central,93,19," $119,241,701 ",12.9,30.9,0.25,0.432
2019TB,2019,Rays,TB,AL,East,96,30," $60,444,931 ",11.2,33.1,0.254,0.431
2019KC,2019,Royals,KC,AL,Central,59,23," $100,658,316 ",12.2,32.4,0.247,0.401
2019ATL,2019,Braves,ATL,NL,East,97,21," $113,778,369 ",13.3,35.7,0.258,0.452
2019STL,2019,Cardinals,STL,NL,Central,91,6," $162,830,430 ",13.6,33.6,0.245,0.415
2019MIA,2019,Marlins,MIA,NL,East,57,29," $72,449,404 ",9.1,31.4,0.241,0.375
2019CIN,2019,Reds,CIN,NL,Central,75,15," $126,423,214 ",13.6,33.3,0.244,0.422
2019CHC,2019,Cubs,CHC,NL,Central,84,2," $210,358,488 ",10.9,33.4,0.252,0.452
2019CWS,2019,White Sox,CWS,AL,Central,72,26," $89,354,534 ",10.8,33.5,0.261,0.414
2019MIL,2019,Brewers,MIL,NL,Central,89,16," $124,755,400 ",12,32.6,0.246,0.438
2019TEX,2019,Rangers,TEX,AL,West,78,14," $127,660,652 ",12.5,33.9,0.248,0.431
2019TOR,2019,Blue Jays,TOR,AL,East,67,22," $112,037,006 ",14.3,34,0.236,0.428
2019DET,2019,Tigers,DET,AL,Central,47,20," $116,478,400 ",14.1,35.5,0.24,0.388
2019SEA,2019,Mariners,SEA,AL,West,68,11," $150,906,143 ",14.4,34.2,0.237,0.424
2019SD,2019,Padres,SD,NL,West,70,24," $99,205,017 ",10.8,30.5,0.238,0.41
2018CLE,2018,Guardians,CLE,AL,Central,91,16," $137,346,173 ",13.9,34.8,0.259,0.434
2018BOS,2018,Red Sox,BOS,AL,East,108,1," $235,649,368 ",12.4,33.9,0.268,0.453
2018ATL,2018,Braves,ATL,NL,East,90,21," $120,542,785 ",12.5,34.2,0.257,0.417
2018SEA,2018,Mariners,SEA,AL,West,89,9," $162,480,174 ",11.3,33.3,0.254,0.408
2018CHC,2018,Cubs,CHC,NL,Central,95,4," $183,463,459 ",10.5,32.9,0.258,0.41
2018HOU,2018,Astros,HOU,AL,West,103,11," $159,529,730 ",13.5,33.1,0.255,0.425
2018WSH,2018,Nationals,WSH,NL,East,82,5," $181,586,759 ",11.8,32.4,0.254,0.419
2018PIT,2018,Pirates,PIT,NL,Central,82,27," $87,860,654 ",12.1,33.9,0.254,0.407
2018KC,2018,Royals,KC,AL,Central,58,19," $129,967,987 ",13.6,34.2,0.245,0.392
2018MIN,2018,Twins,MIN,AL,Central,78,18," $131,374,996 ",14.3,33.2,0.25,0.405
2018OAK,2018,Athletics,OAK,AL,West,97,30," $68,534,631 ",14.9,35.2,0.252,0.439
2018CIN,2018,Reds,CIN,NL,Central,67,22," $101,185,579 ",13.4,35.7,0.254,0.401
2018COL,2018,Rockies,COL,NL,West,91,15," $141,339,833 ",10,32.4,0.256,0.435
2018LAA,2018,Angels,LAA,AL,West,80,6," $174,592,209 ",13.5,33.9,0.242,0.413
2018LAD,2018,Dodgers,LAD,NL,West,92,3," $186,138,211 ",14.5,33.3,0.25,0.442
2018STL,2018,Cardinals,STL,NL,Central,88,10," $161,005,146 ",12.2,33.5,0.249,0.409
2018DET,2018,Tigers,DET,AL,Central,64,20," $129,917,192 ",13.1,34.4,0.241,0.38
2018MIA,2018,Marlins,MIA,NL,East,63,23," $98,826,644 ",9.8,32,0.237,0.357
2018TB,2018,Rays,TB,AL,East,90,28," $78,231,049 ",10.3,33.1,0.258,0.406
2018NYY,2018,Yankees,NYY,AL,East,100,7," $168,541,038 ",13.5,33.9,0.249,0.451
2018MIL,2018,Brewers,MIL,NL,Central,96,26," $90,237,112 ",10.2,32.5,0.252,0.424
2018SF,2018,Giants,SF,NL,West,73,2," $208,509,901 ",11.7,33.5,0.239,0.368
2018BAL,2018,Orioles,BAL,AL,East,47,14," $143,600,045 ",11.8,32.3,0.239,0.391
2018NYM,2018,Mets,NYM,NL,East,77,12," $155,765,125 ",13.8,32.8,0.234,0.389
2018TOR,2018,Blue Jays,TOR,AL,East,73,8," $162,664,502 ",13.8,34.7,0.244,0.427
2018AZ,2018,D-backs,AZ,NL,West,82,17," $132,495,446 ",11.4,33.3,0.235,0.397
2018TEX,2018,Rangers,TEX,AL,West,67,13," $144,498,078 ",11.9,32.8,0.24,0.404
2018SD,2018,Padres,SD,NL,West,66,25," $96,131,798 ",9.6,30.5,0.235,0.38
2018CWS,2018,White Sox,CWS,AL,Central,62,29," $72,177,640 ",11.6,32.9,0.241,0.401
2018PHI,2018,Phillies,PHI,NL,East,80,24," $96,848,371 ",13.2,32,0.234,0.393
2017HOU,2017,Astros,HOU,AL,West,101,17," $127,443,900 ",12.4,32.5,0.282,0.478
2017ATL,2017,Braves,ATL,NL,East,72,15," $137,339,527 ",10.1,32.5,0.263,0.412
2017BOS,2017,Red Sox,BOS,AL,East,93,6," $174,287,098 ",10.9,31.5,0.258,0.407
2017SF,2017,Giants,SF,NL,West,64,4," $176,531,278 ",10.6,31.3,0.249,0.38
2017CLE,2017,Guardians,CLE,AL,Central,102,18," $115,991,166 ",12.6,32.6,0.263,0.449
2017KC,2017,Royals,KC,AL,Central,80,16," $132,091,916 ",13.5,33.7,0.259,0.42
2017MIA,2017,Marlins,MIA,NL,East,77,19," $115,348,302 ",8.4,30.5,0.267,0.431
2017SEA,2017,Mariners,SEA,AL,West,78,12," $155,207,720 ",11.7,33,0.259,0.424
2017PIT,2017,Pirates,PIT,NL,Central,75,23," $94,637,833 ",10.2,33.1,0.244,0.386
2017WSH,2017,Nationals,WSH,NL,East,97,9," $162,742,157 ",11.6,33,0.266,0.449
2017NYM,2017,Mets,NYM,NL,East,70,5," $176,284,679 ",14,34.4,0.25,0.434
2017BAL,2017,Orioles,BAL,AL,East,75,11," $161,684,185 ",11.8,33.3,0.26,0.435
2017NYY,2017,Yankees,NYY,AL,East,91,7," $170,389,199 ",12.6,33.3,0.262,0.447
2017DET,2017,Tigers,DET,AL,Central,64,2," $180,250,600 ",12.6,37.4,0.258,0.424
2017LAA,2017,Angels,LAA,AL,West,80,14," $143,965,833 ",10.9,32.5,0.243,0.397
2017MIN,2017,Twins,MIN,AL,Central,85,22," $100,787,500 ",13.5,33.7,0.26,0.434
2017CIN,2017,Reds,CIN,NL,Central,68,26," $82,375,785 ",12.9,33.9,0.253,0.433
2017TOR,2017,Blue Jays,TOR,AL,East,76,10," $162,353,367 ",12.3,32.6,0.24,0.412
2017COL,2017,Rockies,COL,NL,West,87,21," $101,513,571 ",10,33.1,0.273,0.444
2017STL,2017,Cardinals,STL,NL,Central,83,13," $146,630,000 ",12.6,34.3,0.256,0.426
2017CWS,2017,White Sox,CWS,AL,Central,67,20," $109,591,167 ",10.7,32.1,0.256,0.417
2017CHC,2017,Cubs,CHC,NL,Central,92,8," $170,088,502 ",12,32.4,0.255,0.437
2017PHI,2017,Phillies,PHI,NL,East,66,25," $87,418,378 ",10.1,32,0.25,0.409
2017AZ,2017,D-backs,AZ,NL,West,93,24," $90,730,499 ",10.2,32.7,0.254,0.445
2017LAD,2017,Dodgers,LAD,NL,West,104,1," $187,989,811 ",12.2,34.4,0.249,0.437
2017OAK,2017,Athletics,OAK,AL,West,75,27," $70,601,667 ",15.3,36.6,0.246,0.436
2017TB,2017,Rays,TB,AL,East,80,28," $69,982,520 ",12.2,32.8,0.245,0.422
2017TEX,2017,Rangers,TEX,AL,West,78,3," $178,431,396 ",12.9,32.2,0.244,0.43
2017MIL,2017,Brewers,MIL,NL,Central,86,29," $61,020,089 ",10.7,33.6,0.249,0.429
2017SD,2017,Padres,SD,NL,West,71,30," $34,574,400 ",12.6,32.3,0.234,0.393
2016BOS,2016,Red Sox,BOS,AL,East,93,3," $199,864,178 ",11.3,32.4,0.282,0.461
2016SF,2016,Giants,SF,NL,West,87,5," $171,464,943 ",11.3,32.2,0.258,0.398
2016LAA,2016,Angels,LAA,AL,West,74,7," $166,831,190 ",10.9,32.3,0.26,0.405
2016MIA,2016,Marlins,MIA,NL,East,79,28," $70,464,500 ",8.3,30.8,0.263,0.394
2016OAK,2016,Athletics,OAK,AL,West,69,26," $85,823,390 ",12.7,33.5,0.246,0.395
2016KC,2016,Royals,KC,AL,Central,81,14," $137,606,125 ",10.6,30.5,0.261,0.4
2016ATL,2016,Braves,ATL,NL,East,68,27," $84,821,541 ",9.4,32.8,0.255,0.384
2016COL,2016,Rockies,COL,NL,West,75,17," $113,242,571 ",11,33.5,0.275,0.457
2016TEX,2016,Rangers,TEX,AL,West,95,8," $161,246,720 ",11.4,31.7,0.262,0.433
2016SEA,2016,Mariners,SEA,AL,West,86,12," $144,996,858 ",10.8,31.3,0.259,0.43
2016WSH,2016,Nationals,WSH,NL,East,95,11," $146,686,385 ",12.1,31,0.256,0.426
2016NYY,2016,Yankees,NYY,AL,East,84,2," $227,854,349 ",11.3,31.1,0.252,0.405
2016CWS,2016,White Sox,CWS,AL,Central,78,16," $115,998,667 ",10.7,32.1,0.257,0.41
2016CLE,2016,Guardians,CLE,AL,Central,94,23," $98,006,899 ",13.2,33.1,0.262,0.43
2016AZ,2016,D-backs,AZ,NL,West,69,22," $98,657,436 ",9.7,31.3,0.261,0.432
2016STL,2016,Cardinals,STL,NL,Central,86,9," $149,186,000 ",13.1,33.5,0.255,0.442
2016CIN,2016,Reds,CIN,NL,Central,68,25," $93,171,452 ",11.6,34.3,0.256,0.408
2016PIT,2016,Pirates,PIT,NL,Central,78,21," $99,960,499 ",10.4,31.1,0.257,0.402
2016DET,2016,Tigers,DET,AL,Central,86,4," $199,525,500 ",13.1,34.7,0.267,0.438
2016MIN,2016,Twins,MIN,AL,Central,59,18," $104,591,200 ",12.4,32,0.251,0.421
2016LAD,2016,Dodgers,LAD,NL,West,91,1," $253,639,162 ",10.8,32.2,0.249,0.409
2016BAL,2016,Orioles,BAL,AL,East,89,10," $147,943,713 ",13.7,31.8,0.256,0.443
2016CHC,2016,Cubs,CHC,NL,Central,103,6," $167,444,167 ",13.3,31.6,0.256,0.429
2016NYM,2016,Mets,NYM,NL,East,87,15," $130,612,115 ",14.7,34.1,0.246,0.417
2016TOR,2016,Blue Jays,TOR,AL,East,89,13," $140,582,027 ",12.5,31.7,0.248,0.426
2016HOU,2016,Astros,HOU,AL,West,84,24," $96,643,000 ",11.5,32.5,0.247,0.417
2016PHI,2016,Phillies,PHI,NL,East,71,19," $103,346,668 ",10.2,30,0.24,0.384
